;resolution;releaseDate;StructureWeight;PolymerWeight;NonpolymerWeight;NonpolymerWeightNowater;WaterWeight;atomCount;hetatmCount;allAtomCount;allAtomCountLn;aaCount;ligandCount;ligandBondRotationFreedom;aaLigandCount;aaLigandCountNowater;aaLigandCountFiltered;ligandRatio;hetatmCountNowater;ligandCountNowater;ligandRatioNowater;hetatmCountFiltered;ligandCarbonChiraAtomCountFiltered;ligandCountFiltered;ligandRatioFiltered;hetatmCountMetal;ligandCountMetal;ligandRatioMetal;hetatmCountNometal;ligandCountNometal;ligandRatioNometal;hetatmCountNowaterNometal;ligandCountNowaterNometal;ligandRatioNowaterNometal;hetatmCountFilteredMetal;ligandCountFilteredMetal;ligandRatioFilteredMetal;hetatmCountFilteredNometal;ligandCountFilteredNometal;ligandRatioFilteredNometal;clashscore;RamaOutliers;SidechainOutliers;ClashscorePercentile;RamaOutliersPercentile;SidechainOutliersPercentile;combinedGeometryQuality;DCC_R;DCC_Rfree;absolute-percentile-DCC_Rfree;AngleRMSZstructure;BondRMSZstructure;RSRZoutliers;RSRZoutliersPercentile;combinedXrayQualityMetric;combinedOverallQualityMetric;highestChainBondsRMSZ;highestChainAnglesRMSZ;averageResidueRSR;ChiralProblemLigandRatio;GoodLigandRatio;TopologyProblemLigandRatio;LigandTopologyProblemsPrecise;LigandTopologyCarbonChiraProblemsPrecise;ChiraProblemsPrecise;GoodLigandRatioBinary;LigandTopologyProblemsPreciseBinary;LigandTopologyCarbonChiraProblemsPreciseBinary;ChiraProblemsPreciseBinary;averageLigandRSR;averageLigandAngleRMSZ;averageLigandBondRMSZ;averageLigandRSCC;ligandRSCCoutlierRatio;AssemblyTotalWeight;AssemblyBiopolymerCount;AssemblyUniqueBiopolymerCount;AssemblyLigandCount;AssemblyUniqueLigandCount;AssemblyWaterCount;AssemblyBiopolymerWeight;AssemblyLigandWeight;AssemblyWaterWeight;averageResidueRSCC;residueRSCCoutlierRatio;AssemblyLigandFlexibility;averageLigandRSCCsmallLigs;averageLigandRSCClargeLigs;absolute-percentile-RNAsuiteness
66;2.39;NA;73.0427;66.9241;6028.98;1153.93;5404.5;6041;363;6111;8.71785;351;337;0.8462;640;359;354;1.39785;92;NA;14.875;103;NA;NA;47;NA;NA;NA;358;298;1.37745;102;NA;17.6429;NA;NA;NA;102;NA;NA;9.05;1.34;4.4;67.2;NA;37.9;59.494;NA;NA;NA;0.98;0.83;4.37;43.7;55.9573;28.8715;0.84;1;0.17222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.189947;1.4425;1.268;0.936;NA;60.402;NA;NA;NA;NA;NA;59.5;1011.09;NA;0.930588;0.0831382;0.391304;0.93;0.951;NA
67;2.41;NA;75.1663;68.6773;6182.94;1185.78;5530.61;6223;372;6296;8.74767;357;345;0.851;653;365;360;1.42727;95;NA;15.2;106;NA;NA;48;NA;NA;NA;367;306;1.39394;107;NA;18;NA;NA;NA;104;NA;NA;9.29;1.39;4.53;68.2;NA;38.9;60.5505;NA;NA;NA;0.99;0.84;4.48;44.9;56.9392;29.7045;0.85;1.01;0.173622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.192;1.47;1.29;0.9375;NA;62.053;NA;NA;NA;NA;NA;61.116;1039.37;NA;0.931118;0.0846154;0.401709;0.9316;0.952;NA
68;2.44;NA;77.2153;70.6412;6341.18;1221.16;5638.7;6384;381;6471;8.77509;363;353;0.8571;663;371;365;1.44248;96;NA;15.8333;108;NA;NA;52;NA;NA;NA;376;312;1.41121;110;NA;18.8333;NA;NA;NA;106;NA;NA;9.56;1.45;4.67;69.2;NA;39.8;61.5392;NA;NA;NA;1;0.85;4.58;46.1;57.8948;30.4976;0.86;1.02;0.175034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.194;1.495;1.315;0.939;NA;63.733;NA;NA;NA;NA;NA;62.5177;1065.32;NA;0.931652;0.0860416;0.409524;0.933;0.953;NA
69;2.45;NA;79.3107;72.7366;6511.34;1248.56;5800.83;6535;392;6649;8.80222;367;361;0.8572;675;377;370;1.45918;99;NA;16.1429;117;NA;NA;53;NA;NA;NA;386;320;1.43038;115;NA;19.2632;NA;NA;NA;109;NA;NA;9.83;1.5;4.82;70.2;NA;40.8;62.5091;NA;NA;NA;1.01;0.86;4.69;47.3;58.832;31.2828;0.87;1.03;0.176426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.196;1.52;1.34;0.940097;NA;65.18;NA;NA;NA;NA;NA;64.2192;1089.15;NA;0.932215;0.0876623;0.421795;0.93472;0.954;NA
70;2.498;NA;81.6328;74.7502;6677.65;1286.2;5944.95;6663;402;6828;8.82879;373;371;0.8648;688;382;376;1.47727;102;NA;16.75;120;NA;NA;59;NA;NA;NA;396;328;1.45;118;NA;19.6667;NA;NA;NA;114;NA;NA;10.12;1.56;4.97;71.2;NA;41.9;63.5067;NA;NA;NA;1.02;0.87;4.8;48.7;59.8326;32.1166;0.88;1.04;0.177902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.198308;1.55;1.363;0.9415;NA;67.087;NA;NA;NA;NA;NA;66.1047;1115.65;NA;0.932742;0.0892974;0.433198;0.936333;0.95525;NA
71;2.5;NA;84.0606;77.1504;6859.5;1325.04;6107.09;6822;413;6994;8.85281;381;381;0.8667;702;388;383;1.49541;105;NA;17.4118;126;NA;NA;130;NA;NA;NA;407;337;1.47244;121;NA;20;NA;NA;NA;118;NA;NA;10.41;1.62;5.13;72.2;NA;43;64.5674;NA;NA;NA;1.03;0.88;4.91;49.9;60.7254;32.9775;0.89;1.05;0.179433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.20075;1.577595;1.38955;0.943;NA;68.961;NA;NA;NA;NA;NA;67.9603;1147.46;NA;0.933282;0.0909091;0.44269;0.938;0.9565;NA
72;2.54;NA;86.6872;79.46;7052.09;1359.51;6287.24;7043;425;7170;8.87766;386;391;0.8749;717;394;388;1.51572;110;NA;17.75;129;NA;NA;NA;NA;NA;NA;418;346;1.49474;124;NA;20.5;NA;NA;NA;120;NA;NA;10.7;1.68;5.29;73.3;NA;44;65.5517;NA;NA;NA;1.04;0.89;5.03;51.3;61.659;33.8195;0.9;1.06;0.180987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.203;1.605;1.415;0.94425;NA;70.988;NA;NA;NA;NA;NA;69.7757;1179.28;NA;0.933815;0.0926217;0.457882;0.9395;0.9575;NA
73;2.55;NA;89.2306;82.0249;7248.71;1400.565;6449.37;7286;437;7364;8.90436;392;401;0.879;732;401;395;1.53976;114;NA;18;132;NA;NA;NA;NA;NA;NA;430;365;1.52063;130;NA;21.125;NA;NA;NA;129;NA;NA;11;1.75;5.46;74.3;NA;45.3;66.515;NA;NA;NA;1.05;0.9;5.14;52.7;62.3515;34.6751;0.91;1.08;0.182556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2056;1.635;1.445;0.94575;NA;73.076;NA;NA;NA;NA;NA;72.0347;1217.2;NA;0.934378;0.0943739;0.474038;0.941;0.9585;NA
74;2.58;NA;92.0911;84.9069;7453.22;1445.14;6647.53;7534;449;7609;8.93709;398;411;0.886;748;408;402;1.56391;122;NA;18.5;136;NA;NA;NA;NA;NA;NA;442;376;1.55172;134;NA;21.5714;NA;NA;NA;132;NA;NA;11.34;1.82;5.64;75.3;NA;46.5;67.5148;NA;NA;NA;1.07;0.91;5.27;54.1;62.9849;35.5469;0.92;1.1;0.18411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.208;1.665;1.475;0.947;NA;75.402;NA;NA;NA;NA;NA;74.3653;1249.72;NA;0.934963;0.0961538;0.493538;0.9428;0.9595;NA
75;2.6;NA;94.8386;87.4177;7672.42;1490.84;6845.7;7794;462;7879;8.97196;407;422;0.8889;765;416;410;1.58904;127;NA;19.1111;141;NA;NA;NA;NA;NA;NA;454;387;1.58333;138;NA;22.2667;NA;NA;NA;136;NA;NA;11.69;1.89;5.83;76.3;NA;49;68.5496;NA;NA;NA;1.08;0.92;5.41;55.6;64.0122;36.4081;0.94;1.12;0.185725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2105;1.695;1.505;0.9485;NA;77.877;NA;NA;NA;NA;NA;76.8336;1289.95;NA;0.935518;0.0980892;0.5;0.9445;0.9605;NA
76;2.62;NA;97.5536;90.2768;7888.79;1537.2;7043.86;8071;475;8170;9.00822;416;434;0.8975;780;425;419;1.61667;130;NA;19.6667;146;NA;NA;NA;NA;NA;NA;467;398;1.61842;143;NA;22.75;NA;NA;NA;141;NA;NA;12.07;1.98;6.03;77.3;NA;49.1;69.5806;NA;NA;NA;1.1;0.93;5.56;57.1;64.8532;37.2269;0.95;1.15;0.187389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.213;1.725;1.53583;0.95;NA;80.839;NA;NA;NA;NA;NA;79.65245;1372.24;NA;0.936079;0.1;0.520833;0.946;0.9615;NA
77;2.66;NA;100.463;93.4833;8123.02;1581.17;7242.03;8379;488;8480;9.04547;424;446;0.9;798;433;428;1.64815;134;NA;20.3333;151;NA;NA;NA;NA;NA;NA;481;410;1.66038;147;NA;23.5;NA;NA;NA;146;NA;NA;12.47;2.06;6.24;78.3;NA;50.4;70.686;NA;NA;NA;1.13;0.94;5.69;58.6;65.4998;38.0161;0.96;1.18;0.189072;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.21575;1.755;1.57;0.951;NA;83.689;NA;NA;NA;NA;NA;82.5083;1419.32;NA;0.936646;0.101877;0.532895;0.948;0.962667;NA
78;2.702;NA;103.334;95.6963;8364.85;1635.61;7458.21;8734;502;8798;9.08228;433;456;0.9089;815;441;436;1.68349;138;NA;21;160;NA;NA;NA;NA;NA;NA;495;422;1.70817;156;NA;24.5;NA;NA;NA;150;NA;NA;12.88;2.16;6.46;79.4;NA;51.8;71.8814;NA;NA;NA;1.16;0.95;5.83;60.2;66.8487;38.8886;0.98;1.2;0.19087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2185;1.79;1.605;0.9525;NA;86.702;NA;NA;NA;NA;NA;85.5189;1473.88;NA;0.93726;0.103976;0.544776;0.949273;0.963667;NA
79;2.74;NA;106.095;97.6251;8612.68;1697.455;7692.41;9095;516;9150;9.12151;441;471;0.914;831;450;444;1.72414;149;NA;21.8;166;NA;NA;NA;NA;NA;NA;508;435;1.75814;162;NA;25.5;NA;NA;NA;165;NA;NA;13.32;2.26;6.67;80.5;NA;53.8;73.0603;NA;NA;NA;1.19;0.96;5.98;61.7;67.8231;39.7269;0.99;1.22;0.192729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.221471;1.82;1.64;0.954;NA;89.371;NA;NA;NA;NA;NA;87.9981;1522.87;NA;0.937894;0.106122;0.552707;0.951;0.96475;NA
80;2.75;NA;109.12;100.663;8882.41;1762.02;7944.62;9530;533;9537;9.16293;448;485;0.921;851;458;451;1.76563;159;NA;22;172;NA;NA;NA;NA;NA;NA;524;449;1.8189;174;NA;26.75;NA;NA;NA;172;NA;NA;13.79;2.36;6.92;81.5;NA;54.8;74.2376;NA;NA;NA;1.21;0.97;6.14;63.2;68.7592;40.628;1.01;1.25;0.19465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.224333;1.855;1.68;0.955286;NA;92.792;NA;NA;NA;NA;NA;91.4214;1621.75;NA;0.938541;0.108466;0.560054;0.952667;0.96575;NA
81;2.79;NA;112.657;104.22;9135.29;1827.91;8160.8;9958;550;9988;9.20914;457;501;0.933;872;467;460;1.81481;164;NA;22.5;176;NA;NA;NA;NA;NA;NA;541;462;1.88889;180;NA;27;NA;NA;NA;183;NA;NA;14.29;2.46;7.17;82.5;NA;56.3;75.4655;NA;NA;NA;1.24;0.98;6.3;64.8;69.7441;41.5569;1.02;1.27;0.196454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2275;1.885505;1.72;0.956625;NA;96.051;NA;NA;NA;NA;NA;94.4553;1693.2;NA;0.939176;0.110963;0.572581;0.95425;0.966833;NA
82;2.8;NA;116.642;108.476;9442.72;1894.185;8449.03;10456;568;10487;9.25789;469;517;0.9337;894;479;472;1.86885;170;NA;23.2;189;NA;NA;NA;NA;NA;NA;559;478;1.97368;188;NA;28.1;NA;NA;NA;191;NA;NA;14.81;2.59;7.46;83.5;NA;58;76.6609;NA;NA;NA;1.26;0.99;6.47;66.5;70.7074;42.5164;1.03;1.29;0.198474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.231;1.92;1.76;0.958;NA;99.715;NA;NA;NA;NA;NA;97.574;1767.74;NA;0.939832;0.113456;0.576923;0.956;0.968;NA
83;2.83;NA;121.013;112.566;9772.68;1973.7;8755.29;10975;588;10995;9.3052;482;534;0.9393;918;492;485;1.93204;178;NA;24.2;195;NA;NA;NA;NA;NA;NA;579;495;2.07042;194;NA;29;NA;NA;NA;196;NA;NA;15.37;2.73;7.75;84.6;NA;59.8;77.8783;NA;NA;NA;1.28;1;6.67;68.1;71.7076;43.4857;1.04;1.33;0.200732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.234222;1.9575;1.80542;0.95925;NA;102.705;NA;NA;NA;NA;NA;101.004;1840.82;NA;0.940515;0.116183;0.58;0.9575;0.969;NA
84;2.85;NA;126.137;116.534;10151.6;2056.73;9079.56;11486;608;11541;9.35366;495;553;0.9445;944;505;499;2.08668;186;NA;25.6667;204;NA;NA;NA;NA;NA;NA;599;513;2.19355;202;NA;30;NA;NA;NA;205;NA;NA;15.96;2.87;8.07;85.6;NA;61.7;79.0829;NA;NA;NA;1.3;1.01;6.86;69.8;72.7667;44.4737;1.06;1.38;0.202841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.238;1.996;1.8525;0.96075;NA;107.124;NA;NA;NA;NA;NA;105.486;1917.37;NA;0.941179;0.119048;0.586956;0.959;0.97;NA
85;2.899;NA;131.227;121.737;10539.5;2152.21;9421.85;12035;631;12122;9.40278;505;574;0.953;971;519;511;2.18987;192;NA;26;212;NA;NA;NA;NA;NA;NA;620;532;2.35294;211;NA;31;NA;NA;NA;212;NA;NA;16.65;3.03;8.42;86.5;NA;63.5;80.2257;NA;NA;NA;1.34;1.02;7.07;71.7;73.6011;45.5376;1.09;1.41;0.205253;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.241833;2.035;1.9025;0.962;NA;111.627;NA;NA;NA;NA;NA;110.015;2006.76;NA;0.941931;0.122042;0.6;0.961;0.971;NA
86;2.925;NA;136.686;127.642;10956.9;2249.65;9782.15;12760;655;12768;9.4547;521;594;0.9616;1000;534;526;2.31487;200;NA;27.2;222;NA;NA;NA;NA;NA;NA;644;553;2.53125;220;NA;32.6905;NA;NA;NA;222;NA;NA;17.37;3.22;8.79;87.5;NA;65.5;81.4439;NA;NA;NA;1.38;1.03;7.3;73.3;74.6256;46.5672;1.11;1.44;0.207736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.246;2.07556;1.955;0.9635;NA;116.371;NA;NA;NA;NA;NA;114.353;2118.05;NA;0.942672;0.125134;0.619047;0.962667;0.972;NA
87;2.957;NA;143.38;133.677;11356.4;2360.18;10196.5;13471;682;13479;9.50889;539;618;0.963;1032;550;544;2.45;212;NA;28;235;NA;NA;NA;NA;NA;NA;671;578;2.79487;232;NA;33;NA;NA;NA;235;NA;NA;18.2;3.43;9.19;88.4;NA;67.5;82.6474;NA;NA;NA;1.41;1.05;7.54;75;75.8034;47.5926;1.13;1.51;0.210248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2505;2.12;2.01;0.965;NA;121.832;NA;NA;NA;NA;NA;119.73;2236.44;NA;0.94346;0.128788;0.62963;0.9645;0.973;NA
88;3.01;NA;151.118;141.008;11846;2684.73;10628.9;14471;712;14340;9.57081;556;646;0.9737;1066;567;561;2.84068;222;NA;29;248;NA;NA;NA;NA;NA;NA;701;601;3;244;NA;34;NA;NA;NA;248;NA;NA;19.04;3.65;9.62;89.4;NA;69.7;83.7105;NA;NA;NA;1.44;1.07;7.79;76.8;77.1642;48.6544;1.15;1.55;0.213109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2555;2.17;2.07;0.96635;NA;128.781;NA;NA;NA;NA;NA;127.029;2357.14;NA;0.944278;0.132386;0.646222;0.966;0.974;NA
89;3.07;NA;159.498;148.382;12394.4;2846.55;11133.3;15584.5;749;15426;9.64381;576;676;0.978;1106;586;580;3.24294;234;NA;30.5;261;NA;NA;NA;NA;NA;NA;735;630;3.30189;258;NA;35;NA;NA;NA;260;NA;NA;20.05;3.89;10.14;90.2;NA;71.3;84.8464;NA;NA;NA;1.51;1.09;8.06;78.6;78.198;49.7397;1.17;1.6;0.216132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2605;2.22667;2.138;0.968;NA;137.848;NA;NA;NA;NA;NA;135.862;2585.34;NA;0.945139;0.136232;0.673806;0.968;0.975;NA
90;3.1;NA;168.826;158.104;12996.1;3028.01;11691.7;16800;785;16625;9.71866;599;708;0.999;1151;611;604;4.06667;260;NA;31;276;NA;NA;NA;NA;NA;NA;771;661;3.81481;274;NA;36.5;NA;NA;NA;276;NA;NA;21.16;4.18;10.71;91.1;NA;73.5;85.9435;NA;NA;NA;1.55;1.12;8.38;80.2;79.5353;50.9026;1.21;1.65;0.219423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.266286;2.285;2.21;0.969;NA;147.795;NA;NA;NA;NA;NA;145.925;2709.61;NA;0.946038;0.140572;0.693333;0.9699;0.976;NA
91;3.153;NA;178.912;167.044;13725.9;3190.79;12340.3;18529;829;18139;9.80582;629;746;1;1202;640;635;4.71053;285;NA;32;294;NA;NA;NA;NA;NA;NA;813;698;4.55102;292;NA;37.8;NA;NA;NA;294;NA;NA;22.42;4.51;11.4;91.9;NA;77.4;86.991;NA;NA;NA;1.6;1.14;8.72;82;80.6886;52.0832;1.25;1.7;0.223027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.27275;2.3525;2.298;0.971;NA;158.173;NA;NA;NA;NA;NA;156.342;2881.86;NA;0.947021;0.145299;0.704762;0.9715;0.977;NA
92;3.2;NA;189.748;177.385;14546.4;3425.28;13060.9;20532;875;20060;9.90648;666;787;NA;1259;678;671;5.38462;306;NA;35;316;NA;NA;NA;NA;NA;NA;858;738;5.42857;314;NA;40;NA;NA;NA;315;NA;NA;23.94;4.88;12.17;93.5;NA;78.1;88.1799;NA;NA;NA;1.65;1.17;9.09;83.8;81.7967;53.3313;1.28;1.76;0.226882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.28;2.425;2.3955;0.97225;NA;169.243;NA;NA;NA;NA;NA;166.92;3063.14;NA;0.948079;0.150649;0.717172;0.9734;0.978;NA
93;3.25;NA;202.103;190.651;15457.1;3706.91;13853.5;22922;930;22380;10.0159;711;836;NA;1322;726;719;6.54545;330;NA;38.5;345;NA;NA;NA;NA;NA;NA;912;784;7.02273;340;NA;43.3333;NA;NA;NA;345;NA;NA;25.67;5.29;13.11;94.2;NA;80.6;89.3081;NA;NA;NA;1.7;1.2;9.52;85.6;83.0469;54.6061;1.34;1.82;0.23104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.287735;2.5125;2.50909;0.974;NA;180.994;NA;NA;NA;NA;NA;177.111;3246.63;NA;0.949226;0.156805;0.72437;0.97525;0.979;NA
94;3.34;NA;218.947;205.341;16531.7;4039;14826.3;25545;997;24899;10.1226;758;893;NA;1400;770;764;7.93617;356;NA;40.5272;372;NA;NA;NA;NA;NA;NA;976;839;8.66667;368;NA;44.2909;NA;NA;NA;372;NA;NA;27.78;5.78;14.28;94.9;NA;83.2;90.4925;NA;NA;NA;1.76;1.24;9.98;87.2;84.445;55.8534;1.38;1.9;0.235726;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2966;2.61146;2.6325;0.9755;NA;197.339;NA;NA;NA;NA;NA;195.039;3494.88;NA;0.950485;0.163366;0.74482;0.9775;0.98;NA
95;3.4;NA;239.683;226.254;17789.6;4440.84;15979.3;28953;1072;28217;10.2477;818;960;NA;1501;829;824;9.23333;386;NA;43.3333;416;NA;NA;NA;NA;NA;NA;1049;903;11.5;402;NA;46.6667;NA;NA;NA;408;NA;NA;30.37;6.35;15.68;95.5;NA;85.3;91.5433;NA;NA;NA;1.82;1.31;10.54;88.9;85.9954;57.3856;1.43;2;0.2415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.307;2.71854;2.7725;0.977;NA;218.814;NA;NA;NA;NA;NA;215.522;4196.23;NA;0.951873;0.171021;0.763889;0.9795;0.9815;NA
96;3.54;NA;267.707;253.419;19317.2;4994.94;17402.5;32249;1166;31874;10.3695;872;1044;NA;1632;886;879;11.2222;428;NA;46;465;NA;NA;NA;NA;NA;NA;1140;984;17.4286;449;NA;48;NA;NA;NA;454;NA;NA;33.46;7.08;17.44;96.7;NA;88.1;92.746;NA;NA;NA;1.91;1.36;11.17;90.5;87.5141;59.1037;1.55;2.13;0.247929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.319714;2.86;2.955;0.979;NA;245.745;NA;NA;NA;NA;NA;242.999;4747.5;NA;0.953457;0.180617;0.784091;0.98175;0.983;NA
97;3.7;NA;313.992;295.198;21361.2;5709.26;19222;36430;1293;35820;10.4863;968;1160;NA;1810;986;979;15;484;NA;49;545;NA;NA;NA;NA;NA;NA;1261;1089;23;520;NA;51.5;NA;NA;NA;528;NA;NA;37.78;8.08;19.84;97.6;NA;90.1;93.8202;NA;NA;NA;2.16;1.43;12.03;92;89.1025;61.0828;1.8;2.29;0.25598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.336;3.04;3.17333;0.981;NA;304.613;NA;NA;NA;NA;NA;301.862;5595.68;NA;0.955392;0.193182;0.827273;0.984;0.984;NA
98;3.9;NA;381.763;365.25;24479.2;6700.61;21906.2;43080;1491;42360;10.654;1102;1327;NA;2112;1124;1110;19;617;NA;53;666;NA;NA;NA;NA;NA;NA;1446;1241;28;616;NA;54;NA;NA;NA;636;NA;NA;44.16;9.47;22.92;98.3;NA;91.8;95.1516;NA;NA;NA;2.34;1.54;13.1;93.5;91.193;63.4771;2.05;2.48;0.266738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3576;3.3;3.465;0.983;NA;401.032;NA;NA;NA;NA;NA;395.415;6828.96;NA;0.957705;0.209821;0.853333;0.987;0.986;NA
99;4.2;NA;517.08;489.403;29756.2;8503.78;26337.9;51315;1812;50849;10.8366;1469;1605;NA;2700;1493;1489;22;775;NA;63;883;NA;NA;NA;NA;NA;NA;1737;1498;33;790;NA;74;NA;NA;NA;888;NA;NA;54.1;11.46;27.43;98.8;NA;93.1;96.7283;NA;NA;NA;2.58;1.72;14.67;94.4;92.9892;66.3792;2.44;2.8;0.282154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3905;3.7;3.86;0.986;NA;590.722;NA;NA;NA;NA;NA;584.773;9264.92;NA;0.961087;0.234756;0.884615;0.989667;0.987333;NA
100;6.1;NA;805.391;790.978;41048.9;12608.9;34750.9;73140;2540;71070;11.1714;3480;2179;NA;4293;3517;3522;60;1060;NA;160;1780;NA;NA;NA;NA;NA;NA;2399;1994;54;1215;NA;270;NA;NA;NA;1779;NA;NA;74.81;15.29;33.86;99.9;NA;99.99;98.4536;NA;NA;NA;3.19;2.34;17.67;99.9;95.5569;70.9501;3.49;3.56;0.308804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4535;4.37;4.615;0.9895;NA;1493.81;NA;NA;NA;NA;NA;1479.11;16298.2;NA;0.966633;0.284569;0.9999;0.993;0.99;NA
101;70;NA;18059.5;16853;1210000;1210000;276476;2440000;385890;2440000;14.7078;43715;63840;NA;64317;43780;44336;4800;385890;NA;4800;91115;NA;NA;NA;NA;NA;NA;385875;63600;4800;385875;NA;4800;NA;NA;NA;91115;NA;NA;1044.3;100;100;100;NA;100;100;NA;NA;NA;28.42;227.47;100;100;100;88;579.66;28.42;8.75436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.732;43.6;95.0767;1;NA;594354;NA;NA;NA;NA;NA;594354;1210000;NA;0.997385;1;1;1;0.998429;NA
